"filename", "language", "Python", "Markdown", "JavaScript", "pip requirements", "SCSS", "JSON", "CSS", "XML", "HTML", "JSON with Comments", "Ignore", "Properties", "comment", "blank", "total"
"c:\Ujango\frontend\src\features\Auth\components\Signup\validateForm.js", "JavaScript", 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 188
"c:\Ujango\frontend\src\features\Auth\components\Signup\yupWithRequired.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Ujango\frontend\src\features\Auth\components\Signup\yupWithoutRequerid.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 28
"c:\Ujango\frontend\src\features\Auth\reducers\authSlice.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Auth\reducers\constants.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Feed\components\FeedRightSideBar.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Ujango\frontend\src\features\Feed\components\FeedRightSideBar.module.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Ujango\frontend\src\features\Feed\hooks\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Feed\services\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Group\components\GroupContribuitors.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Ujango\frontend\src\features\Group\components\GroupDetail.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Ujango\frontend\src\features\Group\components\GroupDisplay.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Group\components\GroupRightSidebar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Group\hooks\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\Group\services\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\MarketPlace\components\Category.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Ujango\frontend\src\features\MarketPlace\components\Category.scss", "SCSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Ujango\frontend\src\features\MarketPlace\components\Label.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Ujango\frontend\src\features\MarketPlace\components\Label.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Ujango\frontend\src\features\MarketPlace\components\MarketItem.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Ujango\frontend\src\features\MarketPlace\components\MarketItem.module.scss", "SCSS", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 4, 50
"c:\Ujango\frontend\src\features\MarketPlace\components\MarketJobs\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\MarketPlace\components\MarketProducts\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\MarketPlace\components\MarketServices\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Ujango\frontend\src\features\MarketPlace\components\MarketViewItemList.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7, 68
"c:\Ujango\frontend\src\features\MarketPlace\components\MarketViewItemList.scss", "SCSS", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Ujango\frontend\src\features\MarketPlace\components\MarketplaceRightSidebar.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
